# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.2
#@/tick	42928
#@/user_id	ab7a14e5-ae21-41f1-b36e-b856550d5341
a 	啊	c=63 d=0.402358 t=42928
she ji jia 	設計家	c=1 d=3.23122e-63 t=42928
she ji zhong 	設計中	c=1 d=2.3892e-70 t=42928
she men 	射門	c=1 d=5.79903e-61 t=42928
she qu 	社區	c=8 d=7.91672e-17 t=42928
she shi 	設施	c=2 d=3.30693e-12 t=42928
she si 	設私	c=4 d=2.32053e-58 t=42928
she xiang 	設想	c=1 d=8.1712e-66 t=42928
she you 	設友	c=4 d=1.62302e-21 t=42928
she zheng 	涉政	c=1 d=3.36653e-75 t=42928
she zhi 	設置	c=18 d=9.10147e-11 t=42928
shen 	審	c=32 d=0.00464207 t=42928
shen 	深	c=0 d=4.07318e-53 t=42928
shen 	神	c=2 d=1.22203e-06 t=42928
shen bian 	身邊	c=2 d=0.786644 t=42928
shen cai you men 	深踩油門	c=1 d=4.0936e-52 t=42928
shen fen 	身份	c=2 d=1.64215e-66 t=42928
shen fen zheng 	身份證	c=3 d=1.67367e-22 t=42928
shen fen zheng hao 	身份證號	c=1 d=5.89708e-23 t=42928
shen guo 	伸過	c=1 d=5.91838e-36 t=42928
shen he 	審覈	c=261 d=5.76597 t=42928
shen he de 	審覈的	c=1 d=3.84186e-70 t=42928
shen he hou tai 	審覈後臺	c=1 d=5.30623e-75 t=42928
shen he liang 	審覈量	c=1 d=1.27801e-33 t=42928
shen he liu 	審覈流	c=1 d=8.76546e-39 t=42928
shen he neng li 	審覈能力	c=1 d=1.28438e-62 t=42928
shen he ren 	審覈人	c=1 d=1.97779e-82 t=42928
shen he shi jian 	審覈事件	c=1 d=4.29296e-82 t=42928
shen he ye 	審覈頁	c=3 d=4.00082e-47 t=42928
shen he ye mian 	審覈頁面	c=1 d=4.42837e-65 t=42928
shen he yuan 	審覈員	c=10 d=2.69128e-29 t=42928
shen he zu 	審覈組	c=14 d=0.621885 t=42928
shen me 	什麼	c=103 d=1.04797 t=42928
shen me ren 	什麼人	c=1 d=2.78786e-62 t=42928
shen me shi 	什麼事	c=1 d=1.92312e-17 t=42928
shen me shi hou 	什麼時候	c=12 d=0.00831246 t=42928
shen me yang 	什麼樣	c=4 d=1.21086e-45 t=42928
shen me yong 	什麼用	c=0 d=3.1077e-76 t=42928
shen me yuan yin 	什麼原因	c=1 d=1.99115e-73 t=42928
shen pi 	審批	c=9 d=4.40957e-15 t=42928
shen pi ren 	審批人	c=2 d=1.56779e-76 t=42928
shen qi 	神奇	c=1 d=2.07184e-11 t=42928
shen qing 	申請	c=37 d=2.46863 t=42928
shen qing guo 	申請過	c=1 d=1.13717e-71 t=42928
shen qiu xian 	沈丘縣	c=1 d=1.6687e-24 t=42928
shen shang 	身上	c=2 d=0.000101265 t=42928
shen wei 	神衛	c=192 d=0.858831 t=42928
shen yi dian 	深一點	c=1 d=1.74212e-60 t=42928
shen zhi 	甚至	c=2 d=1.46249e-31 t=42928
sheng 	生	c=1 d=3.39527e-28 t=42928
sheng chan 	生產	c=0 d=2.20971e-64 t=42928
sheng chan fang 	生產方	c=1 d=2.22079e-63 t=42928
sheng chan zhe 	生產者	c=3 d=0.0256454 t=42928
sheng cheng 	生成	c=2 d=8.94253e-39 t=42928
sheng fen 	省份	c=1 d=2.18319e-68 t=42928
sheng huo 	生活	c=3 d=1.32261e-05 t=42928
sheng ji 	升級	c=21 d=2.66978 t=42928
sheng le 	省了	c=1 d=1 t=40155
sheng ming 	生命	c=1 d=3.74788e-14 t=42928
sheng shi 	省事	c=0 d=2.59806e-57 t=42928
sheng shi er 	生事兒	c=1 d=2.59806e-56 t=42928
sheng shi er 	省事兒	c=2 d=6.51839e-25 t=42928
sheng si 	生死	c=1 d=2.96811e-05 t=42928
sheng tai 	生態	c=1 d=7.33049e-24 t=42928
sheng xia lai 	生下來	c=2 d=1.86206e-05 t=42928
sheng xiao 	生效	c=12 d=6.25321e-07 t=42928
sheng yin 	聲音	c=1 d=5.83821e-52 t=42928
sheng you 	省油	c=1 d=3.70404e-52 t=42928
sheng yu 	剩餘	c=7 d=0.650509 t=42928
shi 	事	c=3 d=2.83847e-09 t=42928
shi 	屎	c=1 d=0.000452827 t=42928
shi 	師	c=0 d=7.03325e-38 t=42928
shi 	式	c=0 d=3.67218e-69 t=42928
shi 	是	c=893 d=1.77422 t=42928
shi 	時	c=38 d=0.1764 t=42928
shi 	試	c=1 d=1.40247e-38 t=42928
shi a 	是啊	c=2 d=1.60081e-06 t=42928
shi ba 	是吧	c=4 d=0.0972957 t=42928
shi bai 	失敗	c=19 d=0.00390737 t=42928
shi bie 	識別	c=29 d=3.4302 t=42928
shi bu 	是不	c=1 d=1.12685e-52 t=42928
shi bu shi 	是不是	c=37 d=0.00266024 t=42928
shi chang 	市場	c=2 d=0.00162053 t=42928
shi chang 	時長	c=6 d=0.00321686 t=42928
shi chang jia 	市場價	c=1 d=1 t=41608
shi de 	使得	c=1 d=5.97239e-84 t=42928
shi de 	是的	c=18 d=0.000441074 t=42928
shi dong ran ju 	十動然拒	c=1 d=7.30363e-69 t=42928
shi er 	事兒	c=10 d=0.00486835 t=42928
shi fang 	釋放	c=2 d=5.81541e-06 t=42928
shi fang zai 	是放在	c=1 d=2.60842e-44 t=42928
shi fou 	是否	c=46 d=8.13824e-07 t=42928
shi fu wu 	是服務	c=1 d=1 t=42489
shi ge 	是個	c=4 d=4.69037e-06 t=42928
shi hou 	時候	c=92 d=0.546517 t=42928
shi hou shi 	時候是	c=1 d=1.8578e-81 t=42928
shi ji 	實際	c=9 d=1.65148e-16 t=42928
shi ji ge 	十幾個	c=1 d=3.14769e-49 t=42928
shi ji shang 	實際上	c=4 d=1.13469e-16 t=42928
shi jian 	事件	c=28 d=0.508263 t=42928
shi jian 	實踐	c=1 d=4.57052e-25 t=42928
shi jian 	時間	c=102 d=0.162279 t=42928
shi jian cha 	時間差	c=1 d=7.66479e-78 t=42928
shi jian jiu 	時間就	c=1 d=9.92379e-58 t=42928
shi jie 	世界	c=1 d=2.57835e-84 t=42928
shi jun 	市軍	c=7 d=2.20952e-55 t=42928
shi ke 	時刻	c=0 d=3.3181e-82 t=42928
shi le 	試了	c=1 d=3.37431e-14 t=42928
shi li 	實例	c=3 d=5.99562e-28 t=42928
shi li 	實力	c=1 d=2.58959e-47 t=42928
shi li 	示例	c=2 d=1.31421e-38 t=42928
shi lin 	世林	c=3 d=6.51099e-43 t=42928
shi ma 	是嗎	c=1 d=4.80404e-23 t=42928
shi ni 	是你	c=2 d=6.85865e-06 t=42928
shi pei 	適配	c=3 d=4.73992e-12 t=42928
shi pin 	視頻	c=33 d=0.566095 t=42928
shi pin 	食品	c=1 d=7.16023e-71 t=42928
shi pin pu 	食品舖	c=1 d=1 t=42538
shi qing 	事情	c=19 d=0.15259 t=42928
shi qu 	失去	c=1 d=8.62559e-85 t=42928
shi sha 	是啥	c=3 d=1.20177e-15 t=42928
shi shen me 	是什麼	c=2 d=3.242e-14 t=42928
shi shi 	實時	c=8 d=1.76005e-05 t=42928
shi shi 	試試	c=4 d=5.55177e-20 t=42928
shi shi ba 	試試吧	c=2 d=0.000365224 t=42928
shi shi shang 	事實上	c=1 d=1.18133e-78 t=42928
shi shi shu ju 	實時數據	c=1 d=1 t=41200
shi shi shui 	試試水	c=1 d=1.29958e-24 t=42928
shi shi xing 	實時性	c=1 d=1.02671e-16 t=42928
shi shou 	失守	c=2 d=3.72665e-06 t=42928
shi shui 	是誰	c=1 d=1.0445e-71 t=42928
shi wo men 	是我們	c=2 d=1.02511e-10 t=42928
shi wu 	事務	c=1 d=1.04021e-52 t=42928
shi xi 	實習	c=1 d=2.93149e-06 t=42928
shi xi sheng 	實習生	c=1 d=1.95019e-05 t=42928
shi xia 	試下	c=2 d=8.22195e-83 t=42928
shi xian 	事先	c=1 d=7.24081e-85 t=42928
shi xian 	實現	c=43 d=0.390211 t=42928
shi xiao 	時效	c=5 d=1.17736e-57 t=42928
shi xiao xing 	時效性	c=5 d=6.10404e-57 t=42928
shi xu 	時序	c=2 d=7.2652e-07 t=42928
shi xu 	時許	c=1 d=2.08541e-29 t=42928
shi yan 	時延	c=1 d=1.28442e-33 t=42928
shi ye 	視野	c=1 d=1.59799e-44 t=42928
shi yi 	十一	c=3 d=7.96293e-27 t=42928
shi yi ge 	十一個	c=1 d=2.77396e-62 t=42928
shi yi jing shang xian 	是已經上線	c=1 d=4.55547e-45 t=42928
shi yi men 	是一門	c=1 d=7.07836e-24 t=42928
shi yi xia 	試一下	c=9 d=1.8027e-21 t=42928
shi yin wei 	是因爲	c=2 d=1.98783e-24 t=42928
shi yong 	使用	c=45 d=0.995012 t=42928
shi yong 	試用	c=2 d=7.60065e-38 t=42928
shi yong lv 	使用率	c=2 d=1.10871 t=42928
shi yong qi 	試用期	c=1 d=2.96801e-34 t=42928
shi yun 	時運	c=0 d=0.1 t=41561
shi yun bu jia 	時運不佳	c=1 d=1 t=41562
shi zai 	實在	c=2 d=0.00463092 t=42928
shi zhan 	實戰	c=1 d=1.18462e-52 t=42928
shi zhe ge 	是這個	c=1 d=4.19567e-77 t=42928
shi zhe yang 	是這樣	c=2 d=4.57923e-18 t=42928
shi zheng chang 	是正常	c=1 d=3.10199e-24 t=42928
shi zhou 	市州	c=1 d=3.36435e-38 t=42928
shi zuo tian 	是昨天	c=1 d=1 t=41397
shou 	受	c=2 d=0.0187793 t=42928
shou 	手	c=3 d=1.22838 t=40434
shou 	收	c=1 d=5.23452e-62 t=42928
shou chi 	手持	c=1 d=2.65515e-47 t=42928
shou dao 	受到	c=1 d=1 t=42821
shou dao 	收到	c=18 d=0.0104254 t=42928
shou dong 	手動	c=8 d=0.00194013 t=42928
shou gan 	手感	c=1 d=5.12476e-48 t=42928
shou gong 	手工	c=1 d=2.39042e-76 t=42928
shou hang 	首行	c=1 d=2.20753e-22 t=42928
shou ji 	手機	c=4 d=1.12581e-24 t=42928
shou ji 	收集	c=6 d=6.25428e-09 t=42928
shou ji hao 	手機號	c=6 d=2.87275e-22 t=42928
shou jian ren 	收件人	c=4 d=1.58132e-27 t=42928
shou li 	手裏	c=1 d=2.66845e-47 t=42928
shou peng 	手捧	c=1 d=1.55726e-05 t=42928
shou qi 	手氣	c=1 d=4.78838e-14 t=42928
shou quan 	授權	c=1 d=3.37191e-35 t=42928
shou ren yi yu 	授人以漁	c=1 d=2.33107e-45 t=42928
shou shu 	手術	c=1 d=1.54918e-32 t=42928
shou wei 	收尾	c=2 d=1.56767e-46 t=42928
shou xin 	手心	c=1 d=7.80924e-33 t=42928
shou zhi jia 	手指甲	c=1 d=1.45296e-13 t=42928
shu 	數	c=6 d=0.000796726 t=42928
shu 	樹	c=4 d=9.67385e-25 t=42928
shu 	熟	c=2 d=5.17698e-79 t=42928
shu biao 	鼠標	c=5 d=1.35359e-06 t=42928
shu chu 	輸出	c=21 d=1.79093 t=42928
shu fu 	舒服	c=1 d=1.757e-14 t=42928
shu fu dian 	舒服點	c=1 d=1.7658e-13 t=42928
shu guang 	曙光	c=1 d=2.64702e-11 t=42928
shu ju 	數據	c=279 d=0.862778 t=42928
shu ju de 	數據的	c=1 d=1.55403e-10 t=42928
shu ju ji 	數據集	c=1 d=2.16602e-34 t=42928
shu ju ku 	數據庫	c=25 d=4.80362e-05 t=42928
shu ju lai yuan 	數據來源	c=1 d=2.94039e-71 t=42928
shu ju liang 	數據量	c=5 d=0.000876127 t=42928
shu ju mei xiao fei 	數據沒消費	c=1 d=1 t=41731
shu ju xiang 	數據項	c=1 d=5.9962e-72 t=42928
shu ju yuan 	數據源	c=40 d=2.53616e-20 t=42928
shu ju zhong 	數據中	c=1 d=6.96422e-68 t=42928
shu li 	梳理	c=9 d=2.42101e-18 t=42928
shu lian 	熟練	c=1 d=4.17643e-23 t=42928
shu liang 	數量	c=6 d=0.000777055 t=42928
shu liang ji 	數量級	c=2 d=2.67127e-30 t=42928
shu qian 	書籤	c=1 d=1.88369e-38 t=42928
shu ru 	輸入	c=10 d=0.422911 t=42928
shu ru fa 	輸入法	c=6 d=2.15974e-27 t=42928
shu shou 	束手	c=1 d=8.59189e-39 t=42928
shu xi 	熟悉	c=3 d=3.1386e-15 t=42928
shu xing 	屬性	c=15 d=0.000642689 t=42928
shu xu guan 	鼠鬚管	c=1 d=0.985112 t=42928
shu yi 	鼠疫	c=4 d=1.39992e-74 t=42928
shu zhi 	數值	c=1 d=3.40708e-68 t=42928
shu zhi 	述職	c=2 d=1.91473e-29 t=42928
shu zhi qu jian 	數值區間	c=1 d=2.28998e-71 t=42928
shu zi 	數字	c=11 d=9.87998e-06 t=42928
shu zu 	數組	c=5 d=0.101266 t=42928
shua xin 	刷新	c=1 d=1.90333e-13 t=42928
shuai 	帥	c=1 d=9.7392e-43 t=42928
shuai 	甩	c=0 d=9.7392e-44 t=42928
shuai gei wo 	甩給我	c=1 d=9.78802e-43 t=42928
shuang 	爽	c=3 d=0.00585769 t=42928
shuang 	雙	c=2 d=1.69305e-18 t=42928
shuang de 	爽的	c=1 d=2.78454e-48 t=42928
shuang duo 	雙多	c=1 d=8.2435e-52 t=42928
shuang guan 	雙關	c=1 d=4.38878e-77 t=42928
shuang kuai 	爽快	c=1 d=1.48307e-19 t=42928
shuang pin 	雙拼	c=2 d=1 t=42928
shuang shi 	雙十	c=0 d=5.74328e-66 t=42928
shuang shi yi 	雙十一	c=1 d=5.77207e-65 t=42928
shuang wai wai 	爽歪歪	c=1 d=8.19959e-48 t=42928
shuang xiang 	雙向	c=0 d=4.53492e-81 t=42928
shuang xiang tong bu 	雙向同步	c=1 d=4.55765e-80 t=42928
shuang xiu ri 	雙休日	c=1 d=7.50456e-06 t=42928
shui 	水	c=1 d=2.747e-06 t=42928
shui 	睡	c=1 d=0.000111109 t=42928
shui 	誰	c=21 d=0.767206 t=42928
shui bu hao 	睡不好	c=1 d=6.51575e-79 t=42928
shui hai 	誰還	c=1 d=1 t=41702
shui hao 	睡好	c=1 d=4.63141e-63 t=42928
shui jiao 	睡覺	c=6 d=0.00123294 t=42928
shui li 	水裏	c=1 d=1 t=41985
shui mu 	水木	c=1 d=7.877e-17 t=42928
shui shuo 	誰說	c=1 d=5.13175e-64 t=42928
shui xing 	睡醒	c=0 d=2.09409e-20 t=42928
shui xing jiao 	睡醒覺	c=1 d=2.10458e-19 t=42928
shui ye 	誰也	c=1 d=1.17687e-63 t=42928
shui yi hui er 	睡一會兒	c=1 d=1.9623e-19 t=42928
shui zhi dao 	誰知道	c=2 d=9.45971e-24 t=42928
shun li 	順利	c=0 d=5.06412e-56 t=42928
shun shou 	順手	c=1 d=6.79019e-35 t=42928
shun xu 	順序	c=2 d=5.81047e-71 t=42928
shuo 	說	c=192 d=1.16576 t=42928
shuo bu ding 	說不定	c=2 d=1.18e-06 t=42928
shuo bu hao 	說不好	c=1 d=9.07275e-62 t=42928
shuo bu qing chu 	說不清楚	c=3 d=4.74977e-07 t=42928
shuo de 	說的	c=3 d=3.22974e-28 t=42928
shuo fa 	說法	c=3 d=4.94277e-05 t=42928
shuo guo 	說過	c=2 d=3.4919e-64 t=42928
shuo hao 	說好	c=2 d=4.20322e-10 t=42928
shuo hua 	說話	c=3 d=0.000497955 t=42928
shuo ming 	說明	c=8 d=1.60101e-22 t=42928
shuo ming tian 	說明天	c=1 d=1.26027e-45 t=42928
shuo qing chu 	說清楚	c=2 d=3.84329e-45 t=42928
shuo shi 	碩士	c=1 d=2.61303e-06 t=42928
shuo shi 	說是	c=3 d=0.000662162 t=42928
shuo wan 	說完	c=1 d=1.16619e-44 t=42928
shuo wo 	說我	c=1 d=8.92979e-81 t=42928
shuo yi sheng 	說一聲	c=1 d=1.00423e-79 t=42928
shuo yi xia 	說一下	c=2 d=8.46829e-45 t=42928
shuo zhen 	說真	c=1 d=3.29671e-05 t=42928
si 	四	c=2 d=2.38643e-27 t=42928
si 	死	c=0 d=1.16639e-47 t=42928
si 	私	c=14 d=9.2405e-11 t=42928
si ceng 	四層	c=1 d=1.93006e-30 t=42928
si ge 	四個	c=1 d=1.03982e-77 t=42928
si hu 	私戶	c=1 d=9.44302e-62 t=42928
si le 	死了	c=2 d=1.11507e-46 t=42928
si liao 	私聊	c=1 d=3.22069e-54 t=42928
si lu 	思路	c=2 d=3.25659e-08 t=42928
si mei si 	死沒死	c=1 d=1.17224e-46 t=42928
si mi 	私密	c=2 d=2.44851e-36 t=42928
si mi ci 	私密詞	c=2 d=5.08683e-35 t=42928
si ping 	四平	c=1 d=3.59213e-44 t=42928
si qiu 	死囚	c=0 d=1.41613e-06 t=42928
si ren 	私人	c=1 d=3.46728e-69 t=42928
si tu 	司徒	c=0 d=1.29861e-75 t=42928
si you 	私有	c=3 d=1.43814 t=42928
song 	送	c=3 d=1.42739e-10 t=42928
song bu song 	鬆不鬆	c=1 d=7.90923e-65 t=42928
song gei 	送給	c=0 d=3.15208e-37 t=42928
song gei ni ba 	送給你吧	c=1 d=3.16788e-36 t=42928
song ni 	送你	c=3 d=2.08667e-42 t=42928
song ni men 	送你們	c=1 d=8.10946e-65 t=42928
song ta 	送她	c=3 d=2.04522e-42 t=42928
sou 	搜	c=5 d=1.13408e-39 t=42928
sou dao 	搜到	c=1 d=5.82394e-82 t=42928
sou guo 	漱過	c=1 d=2.80518e-76 t=42928
sou suo 	搜索	c=7 d=1.63343e-08 t=42928
su tie 	蘇鐵	c=1 d=2.50494e-09 t=42928
su zhu 	宿主	c=0 d=2.29154e-80 t=42928
su zhu ji 	宿主機	c=2 d=8.85987e-18 t=42928
suan 	算	c=10 d=0.0023461 t=42928
suan fa 	算法	c=11 d=0.00158284 t=42928
suan le 	算了	c=1 d=1.24324e-32 t=42928
sui 	歲	c=1 d=1.69541e-05 t=42928
sui bian 	隨便	c=1 d=4.37908e-51 t=42928
sui bian mai 	隨便賣	c=1 d=2.58951e-76 t=42928
sui ran 	雖然	c=7 d=3.37259e-08 t=42928
sui shi 	隨時	c=6 d=7.19291e-07 t=42928
sui shi shang xian 	隨時上線	c=1 d=2.41863e-67 t=42928
sui sui 	碎碎	c=0 d=1.58429e-32 t=42928
sui sui nian 	碎碎唸	c=1 d=1.59223e-31 t=42928
sui zhe 	隨着	c=2 d=1.31192 t=42675
suo ding 	鎖定	c=4 d=0.00861085 t=42928
suo jin 	所進	c=1 d=2.63015e-24 t=42928
suo shu 	所屬	c=2 d=7.50967e-14 t=42928
suo wei 	所謂	c=2 d=8.05182e-85 t=42928
suo yi 	所以	c=46 d=0.224751 t=42928
suo yin 	索引	c=7 d=0.000542133 t=42928
suo you 	所有	c=46 d=0.833692 t=42928
suo zhi 	所知	c=1 d=6.08411e-08 t=42928
ta 	他	c=51 d=0.191233 t=42928
ta 	她	c=11 d=0.000275774 t=42928
ta 	它	c=29 d=9.75808e-07 t=42928
ta hui 	他會	c=1 d=2.75965e-60 t=42928
ta jiu 	他就	c=1 d=0.00269866 t=42928
ta men 	他們	c=88 d=0.00767297 t=42928
ta shuo 	他說	c=1 d=3.10357e-31 t=42928
ta shuo 	她說	c=1 d=0.000121572 t=42928
ta shuo de 	他說的	c=1 d=3.11913e-30 t=42928
ta ye 	他也	c=1 d=1.92213e-11 t=42928
ta zhe 	他這	c=1 d=1.08532e-22 t=42928
tai 	太	c=26 d=0.0127935 t=42928
tai 	胎	c=0 d=6.42223e-57 t=42928
tai 	臺	c=5 d=8.87166e-08 t=42928
tai cha 	太差	c=2 d=1.90321e-71 t=42928
tai chang 	太長	c=2 d=2.07495e-58 t=42928
tai da 	太大	c=3 d=0.843665 t=42928
tai deng 	檯燈	c=2 d=2.30937e-76 t=42928
tai di 	太低	c=1 d=1 t=41566
tai du 	太堵	c=1 d=9.24846e-23 t=42928
tai du 	態度	c=5 d=6.40836e-30 t=42928
tai duo 	太多	c=6 d=0.778809 t=42928
tai gao 	太高	c=4 d=1.49452e-20 t=42928
tai guan zhu 	太關注	c=1 d=1.46977e-60 t=42928
tai hun luan 	太混亂	c=1 d=1.88427e-71 t=42928
tai jin 	太緊	c=1 d=4.75027e-67 t=42928
tai jiu 	太久	c=1 d=1 t=40661
tai ka 	太卡	c=2 d=2.02137e-15 t=42928
tai ke pa 	太可怕	c=1 d=1.98958e-05 t=42928
tai kuai 	太快	c=1 d=3.46327e-26 t=42928
tai lao 	太老	c=1 d=2.54488e-48 t=42928
tai lei 	太累	c=1 d=1.97214e-19 t=42928
tai liu bi 	太流弊	c=1 d=1.0988e-79 t=42928
tai man 	太慢	c=1 d=1 t=41419
tai mang 	太忙	c=2 d=1.6169e-06 t=42928
tai mei 	太美	c=2 d=7.09132e-71 t=42928
tai nan 	太難	c=1 d=1.67854e-05 t=42928
tai nan wei 	太難爲	c=1 d=3.96654e-34 t=42928
tai rou 	太肉	c=1 d=4.13474e-52 t=42928
tai shao 	太少	c=1 d=8.08439e-58 t=42928
tai xiang 	太香	c=1 d=3.30053e-48 t=42928
tai yuan 	太原	c=1 d=6.2724e-43 t=42928
tai yuan 	太遠	c=1 d=6.30384e-43 t=42928
tai zhong 	太重	c=2 d=9.0327e-10 t=42928
tan 	潭	c=0 d=4.70171e-06 t=42928
tan 	談	c=2 d=3.8057e-47 t=42928
tan chu 	彈出	c=1 d=7.68725e-83 t=42928
tan chuang 	彈窗	c=3 d=1.92412e-20 t=42928
tan hao 	歎號	c=1 d=2.73749e-24 t=42928
tan hua 	談話	c=2 d=5.6028e-09 t=42928
tan si 	覃思	c=1 d=5.82333e-22 t=42928
tan xing 	彈性	c=1 d=1.53747e-31 t=42928
tang 	湯	c=1 d=8.70663e-48 t=42928
tao 	套	c=1 d=6.22944e-21 t=42928
tao lu 	套路	c=2 d=0.174645 t=42928
tao lun 	討論	c=7 d=1.14947e-30 t=42928
tao lun zu 	討論組	c=1 d=1.23637e-55 t=42928
te 	特	c=1 d=0.0284388 t=42928
te bie 	特別	c=11 d=0.0017643 t=42928
te bie da 	特別大	c=1 d=1.65491e-44 t=42928
te bie man 	特別慢	c=2 d=0.000459671 t=42928
te ding 	特定	c=2 d=1.09865e-49 t=42928
te shu 	特殊	c=14 d=0.985112 t=42928
te you 	特有	c=3 d=2.95515e-65 t=42928
te zheng 	特徵	c=5 d=0.00485711 t=42928
teng xun 	騰訊	c=1 d=1.13663e-36 t=42928
ti 	提	c=33 d=1.17499 t=42928
ti 	踢	c=2 d=1.776e-52 t=42928
ti 	體	c=2 d=2.60124e-41 t=42928
ti an 	提案	c=25 d=0.88705 t=42928
ti an jian 	提案建	c=1 d=7.38206e-77 t=42928
ti ce 	提測	c=21 d=0.941765 t=42928
ti chu 	提出	c=11 d=0.0199405 t=42928
ti chu lai 	提出來	c=1 d=2.89966e-54 t=42928
ti dai 	替代	c=2 d=3.10737e-15 t=42928
ti dao 	提到	c=5 d=9.35444e-10 t=42928
ti de 	體的	c=1 d=5.80298e-69 t=42928
ti gao 	提高	c=7 d=0.00240422 t=42928
ti gei 	提給	c=1 d=3.93816e-31 t=42928
ti gei ta 	提給他	c=1 d=1.98884e-30 t=42928
ti gei wo 	提給我	c=1 d=1.96905e-30 t=42928
ti gong 	提供	c=59 d=0.773868 t=42928
ti huan 	替換	c=9 d=2.43516e-10 t=42928
ti hui 	體會	c=1 d=4.8091e-06 t=42928
ti jiao 	提交	c=9 d=0.00612731 t=42928
ti le 	提了	c=4 d=0.00410726 t=42928
ti li 	替力	c=0 d=7.7518e-06 t=42928
ti qian 	提前	c=8 d=3.66232e-07 t=42928
ti sheng 	提升	c=7 d=1.91157e-05 t=42928
ti shi 	提示	c=14 d=0.744532 t=42928
ti wen 	提問	c=1 d=8.14621e-30 t=42928
ti xi 	體系	c=3 d=0.438235 t=42928
ti xian 	提現	c=1 d=3.67367e-14 t=42928
ti xian 	體現	c=2 d=8.08328e-27 t=42928
ti xin diao dan 	提心吊膽	c=1 d=1.85912e-60 t=42928
ti xing 	提醒	c=4 d=6.33133e-06 t=42928
ti xu qiu 	提需求	c=1 d=3.21183e-51 t=42928
ti yan 	體驗	c=6 d=0.00171216 t=42928
ti yi 	提議	c=1 d=4.50799e-10 t=42928
ti zhi 	體質	c=0 d=9.00631e-06 t=42928
tian 	填	c=12 d=3.76142e-27 t=42928
tian 	天	c=10 d=2.23396e-15 t=42928
tian 	甜	c=1 d=6.60544e-34 t=42928
tian chong 	填充	c=1 d=3.45058e-71 t=42928
tian hong 	天宏	c=1 d=1 t=41610
tian jia 	添加	c=35 d=0.0399551 t=42928
tian jin 	天津	c=5 d=2.7167e-16 t=42928
tian leng 	天冷	c=1 d=1.25916e-64 t=42928
tian lu 	天露	c=1 d=2.46453e-24 t=42928
tian lu yuan 	天露園	c=4 d=5.02259e-17 t=42928
tian shu 	天數	c=8 d=2.35651e-55 t=42928
tian tian 	天天	c=4 d=3.06642e-06 t=42928
tian xie 	填寫	c=4 d=2.33036e-12 t=42928
tiao 	條	c=6 d=2.61979e-07 t=42928
tiao 	調	c=10 d=5.46243e-34 t=42928
tiao cao 	跳槽	c=1 d=1.44538e-69 t=42928
tiao dao 	跳到	c=1 d=6.55531e-62 t=42928
tiao guo 	跳過	c=2 d=1.58106e-07 t=42928
tiao jian 	條件	c=16 d=2.2909e-17 t=42928
tiao shi 	調試	c=4 d=5.23753e-10 t=42928
tiao shu 	條數	c=3 d=1.51876e-34 t=42928
tiao yong 	調用	c=1 d=7.23735e-50 t=42928
tiao you 	調優	c=1 d=4.70155e-34 t=42928
tiao zhan 	挑戰	c=1 d=5.62687e-30 t=42928
tiao zheng 	調整	c=12 d=0.454271 t=42928
tie 	帖	c=1 d=1.3097e-27 t=42928
tie 	貼	c=0 d=7.55864e-62 t=42928
tie ba 	貼吧	c=3 d=0.00218686 t=42928
tie zi 	帖子	c=2 d=1.00553e-06 t=42928
ting 	停	c=2 d=0.156589 t=42928
ting 	挺	c=8 d=0.99005 t=42928
ting 	聽	c=8 d=0.985112 t=42928
ting bu diao 	停不掉	c=1 d=0.0466538 t=42928
ting bu xi guan 	挺不習慣	c=1 d=2.8408e-48 t=42928
ting dao 	聽到	c=2 d=5.28837e-06 t=42928
ting diao 	停掉	c=3 d=0.254674 t=42928
ting duo 	挺多	c=2 d=0.00011382 t=42928
ting duo shi er 	挺多事兒	c=1 d=7.26373e-34 t=42928
ting fang 	停放	c=1 d=9.20174e-81 t=42928
ting hao 	挺好	c=3 d=1.88471e-16 t=42928
ting hao yong 	挺好用	c=1 d=1.89416e-15 t=42928
ting kuai 	挺快	c=1 d=1 t=41333
ting le 	停了	c=1 d=1 t=40561
ting niu bi 	挺牛逼	c=1 d=8.51219e-47 t=42928
ting shuang 	挺爽	c=1 d=7.99987e-52 t=42928
ting shuo 	聽說	c=1 d=2.38473e-48 t=42928
ting shuo guo 	聽說過	c=1 d=3.5318e-80 t=42928
ting ting 	婷婷	c=1 d=7.60607e-17 t=42928
ting ting 	聽聽	c=0 d=7.53039e-18 t=42928
ting xia 	停下	c=1 d=0.00479587 t=42928
ting you dao li 	挺有道理	c=1 d=5.41452e-48 t=42928
tong 	同	c=3 d=7.35298e-60 t=42928
tong 	桶	c=1 d=0.22091 t=42928
tong 	通	c=8 d=3.07321e-32 t=42928
tong bao 	通報	c=3 d=1.78234e-05 t=42928
tong bu 	同步	c=76 d=0.565472 t=42928
tong bu chu 	同步出	c=1 d=1 t=39580
tong bu shi bie 	同步識別	c=1 d=1 t=42540
tong chang 	通常	c=3 d=3.11282e-26 t=42928
tong cheng 	同城	c=1 d=2.42002e-15 t=42928
tong dao 	通道	c=0 d=1.72367e-24 t=42928
tong dao ji 	通道即	c=2 d=1.52876e-23 t=42928
tong dao ji 	通道機	c=2 d=9.38025e-13 t=42928
